block,check,ok,detail
S0,logs/seed*.npz が 10 本,True,10 本
S0,logs が git 追跡下,True,10/10
S0,snapshot が存在・追跡下,True,/home/issan/Projects/claude/proj_004_drift/results/posreset_0819/snapshots/A_w100_cont_step500000.pt
S0,q3_boundary_race.py が存在,True,/home/issan/Projects/claude/proj_004_drift/analysis/q3_boundary_race.py
S0,"net/W の shape が (10,100,20)",True,"(10, 100, 20)"
S0,"running_mean の shape が (10,20)",True,"(10, 20)"
S0,step == 500000,True,500000
S0,runs の seed 集合が 0..9,True,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
S0,§9 の閉形式が 32 パターン列挙の max と一致,True,max abs err 0.000e+00
S0,snapshot の alive (p̂>0) 総数 = 120,True,120 (seed 平均 12.0)
S0,snapshot の dead (p̂=0) 総数 = 880,True,880 (seed 平均 88.0)
S0,参考: p̂ >= TAU の総数 (判定に使わない),True,85
S2,境界の機械的同定,True,seed 0: 99 境界
S2,境界の機械的同定,True,seed 1: 99 境界
S2,境界の機械的同定,True,seed 2: 99 境界
S2,境界の機械的同定,True,seed 3: 99 境界
S2,境界の機械的同定,True,seed 4: 99 境界
S2,境界の機械的同定,True,seed 5: 99 境界
S2,境界の機械的同定,True,seed 6: 99 境界
S2,境界の機械的同定,True,seed 7: 99 境界
S2,境界の機械的同定,True,seed 8: 99 境界
S2,境界の機械的同定,True,seed 9: 99 境界
S3,mu_norm のタスク内不変,True,seed 0: 100 タスク
S3,mu_norm のタスク内不変,True,seed 1: 100 タスク
S3,mu_norm のタスク内不変,True,seed 2: 100 タスク
S3,mu_norm のタスク内不変,True,seed 3: 100 タスク
S3,mu_norm のタスク内不変,True,seed 4: 100 タスク
S3,mu_norm のタスク内不変,True,seed 5: 100 タスク
S3,mu_norm のタスク内不変,True,seed 6: 100 タスク
S3,mu_norm のタスク内不変,True,seed 7: 100 タスク
S3,mu_norm のタスク内不変,True,seed 8: 100 タスク
S3,mu_norm のタスク内不変,True,seed 9: 100 タスク
S6,母集団の加法恒等式,True,seed 0: 80100 = 13966 + 66134 (p̂>=TAU なら 10594)
S6,母集団の加法恒等式,True,seed 1: 80100 = 14616 + 65484 (p̂>=TAU なら 11957)
S6,母集団の加法恒等式,True,seed 2: 80100 = 20154 + 59946 (p̂>=TAU なら 15561)
S6,母集団の加法恒等式,True,seed 3: 80100 = 12417 + 67683 (p̂>=TAU なら 10121)
S6,母集団の加法恒等式,True,seed 4: 80100 = 10818 + 69282 (p̂>=TAU なら 8780)
S6,母集団の加法恒等式,True,seed 5: 80100 = 22248 + 57852 (p̂>=TAU なら 18646)
S6,母集団の加法恒等式,True,seed 6: 80100 = 11603 + 68497 (p̂>=TAU なら 9251)
S6,母集団の加法恒等式,True,seed 7: 80100 = 12722 + 67378 (p̂>=TAU なら 10107)
S6,母集団の加法恒等式,True,seed 8: 80100 = 18390 + 61710 (p̂>=TAU なら 14504)
S6,母集団の加法恒等式,True,seed 9: 80100 = 12558 + 67542 (p̂>=TAU なら 9525)
