scope,group,predictor,n,rho
pool,pool,m_minus,17,-0.30637254901960786
pool,pool,u_fr,17,-0.392089732159405
pool,pool,frozen_plus_valley_frac,17,0.5055593004298433
within_family,leaky,m_minus,5,-0.7
within_family,leaky,u_fr,5,nan
within_family,leaky,frozen_plus_valley_frac,5,nan
within_family,relu,m_minus,1,nan
within_family,relu,u_fr,1,nan
within_family,relu,frozen_plus_valley_frac,1,nan
within_family,silu,m_minus,4,0.6
within_family,silu,u_fr,4,-0.6
within_family,silu,frozen_plus_valley_frac,4,0.7378647873726218
within_family,elu,m_minus,4,-1.0
within_family,elu,u_fr,4,-1.0
within_family,elu,frozen_plus_valley_frac,4,1.0
within_family,gelu,m_minus,3,1.0
within_family,gelu,u_fr,3,-1.0
within_family,gelu,frozen_plus_valley_frac,3,0.8660254037844387
