seed,width,srank_t50,srank_t50_passed_150k,srank_t50_passed_300k,dead_at_tint,dead_at_tint_ok,dead_at_300k,dead_at_300k_ok,evalloss_takeoff,evalloss_takeoff_robust,label_spec,label,srank_target,evalloss_1M
0,10,9000.0,True,True,0.1,True,0.1,True,0.0,161000.0,回復,予防,3.28474,0.559547
1,10,12700.0,True,True,0.1,True,0.1,True,0.0,131000.0,回復,回復,3.55285,0.341673
2,10,110700.0,True,True,0.3,False,0.4,False,0.0,121000.0,回復,回復,4.48014,0.315224
3,10,19000.0,True,True,0.2,False,0.2,False,0.0,471000.0,回復,予防,3.41733,0.444917
4,10,31800.0,True,True,0.4,False,0.5,False,0.0,141000.0,回復,回復,4.20347,0.443268
0,20,17000.0,True,True,0.35,False,0.1,True,0.0,411000.0,回復,予防,5.47947,0.705332
1,20,14000.0,True,True,0.55,False,0.35,False,0.0,821000.0,回復,予防,5.47238,0.0946047
2,20,96000.0,True,True,0.35,False,0.1,True,0.0,401000.0,回復,予防,4.69754,0.258451
3,20,8000.0,True,True,0.45,False,0.45,False,0.0,171000.0,回復,予防,5.59142,0.089874
4,20,12400.0,True,True,0.25,False,0.05,True,0.0,231000.0,回復,予防,6.00119,0.00821877
