act,arm,seed,task,tensor,norm
LR,l2wt,4,0,W3,40
LR,l2wt,4,0,b1,2
LR,l2wt,4,1,W3,40
LR,l2wt,4,1,b1,2
LR,l2wt,4,2,W3,40
LR,l2wt,4,2,b1,2
LR,l2wt,4,3,W3,40
LR,l2wt,4,3,b1,2
LR,l2wt,4,4,W3,40
LR,l2wt,4,4,b1,2
LR,l2wt,4,5,W3,40
LR,l2wt,4,5,b1,2
LR,l2wt,4,6,W3,40
LR,l2wt,4,6,b1,2
LR,l2wt,4,7,W3,40
LR,l2wt,4,7,b1,2
LR,l2wt,4,8,W3,40
LR,l2wt,4,8,b1,2
LR,l2wt,4,9,W3,40
LR,l2wt,4,9,b1,2
LR,l2wt,4,10,W3,40
LR,l2wt,4,10,b1,2
LR,l2wt,4,11,W3,40
LR,l2wt,4,11,b1,2
LR,l2wt,4,12,W3,40
LR,l2wt,4,12,b1,2
LR,l2wt,4,13,W3,40
LR,l2wt,4,13,b1,2
LR,l2wt,4,14,W3,40
LR,l2wt,4,14,b1,2
LR,l2wt,4,15,W3,40
LR,l2wt,4,15,b1,2
LR,l2wt,4,16,W3,40
LR,l2wt,4,16,b1,2
LR,l2wt,4,17,W3,40
LR,l2wt,4,17,b1,2
LR,l2wt,4,18,W3,40
LR,l2wt,4,18,b1,2
LR,l2wt,4,19,W3,40
LR,l2wt,4,19,b1,2
LR,l2wt,4,20,W3,40
LR,l2wt,4,20,b1,2
LR,l2wt,4,21,W3,40
LR,l2wt,4,21,b1,2
LR,l2wt,4,22,W3,40
LR,l2wt,4,22,b1,2
LR,l2wt,4,23,W3,40
LR,l2wt,4,23,b1,2
LR,l2wt,4,24,W3,40
LR,l2wt,4,24,b1,2
LR,l2wt,4,25,W3,40
LR,l2wt,4,25,b1,2
LR,l2wt,4,26,W3,40
LR,l2wt,4,26,b1,2
LR,l2wt,4,27,W3,40
LR,l2wt,4,27,b1,2
LR,l2wt,4,28,W3,40
LR,l2wt,4,28,b1,2
LR,l2wt,4,29,W3,40
LR,l2wt,4,29,b1,2
LR,l2wt,4,30,W3,40
LR,l2wt,4,30,b1,2
LR,l2wt,4,31,W3,40
LR,l2wt,4,31,b1,2
LR,l2wt,4,32,W3,40
LR,l2wt,4,32,b1,2
LR,l2wt,4,33,W3,40
LR,l2wt,4,33,b1,2
LR,l2wt,4,34,W3,40
LR,l2wt,4,34,b1,2
LR,l2wt,4,35,W3,40
LR,l2wt,4,35,b1,2
LR,l2wt,4,36,W3,40
LR,l2wt,4,36,b1,2
LR,l2wt,4,37,W3,40
LR,l2wt,4,37,b1,2
LR,l2wt,4,38,W3,40
LR,l2wt,4,38,b1,2
LR,l2wt,4,39,W3,40
LR,l2wt,4,39,b1,2
LR,l2wt,4,40,W3,40
LR,l2wt,4,40,b1,2
LR,l2wt,4,41,W3,40
LR,l2wt,4,41,b1,2
LR,l2wt,4,42,W3,40
LR,l2wt,4,42,b1,2
LR,l2wt,4,43,W3,40
LR,l2wt,4,43,b1,2
LR,l2wt,4,44,W3,40
LR,l2wt,4,44,b1,2
LR,l2wt,4,45,W3,40
LR,l2wt,4,45,b1,2
LR,l2wt,4,46,W3,40
LR,l2wt,4,46,b1,2
LR,l2wt,4,47,W3,40
LR,l2wt,4,47,b1,2
LR,l2wt,4,48,W3,40
LR,l2wt,4,48,b1,2
LR,l2wt,4,49,W3,40
LR,l2wt,4,49,b1,2
LR,l2wt,4,50,W3,40
LR,l2wt,4,50,b1,2
