act,arm,seed,task,online_acc,memo_acc,dead_frac_l1,wt_med_l1,mob_l1,mob_l2,zbar_l1,zbar_l2,rowmean_abs_med_l1
R,l2rest,8,1,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,2,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,3,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,4,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,5,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,6,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,7,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,8,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,9,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,10,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,11,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,12,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,13,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,14,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,15,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,16,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,17,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,18,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,19,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,20,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,21,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,22,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,23,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,24,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,25,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,26,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,27,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,28,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,29,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,30,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,31,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,32,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,33,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,34,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,35,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,36,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,37,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,38,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,39,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,40,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,41,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,42,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,43,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,44,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,45,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,46,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,47,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,48,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,49,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
R,l2rest,8,50,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
