seed,dead_free_late,dead_frozen_late,dead_free_final,dead_frozen_final,unfit_free_late,unfit_frozen_late,unfit_free_final,unfit_frozen_final
0,0.528,0.0,0.5,0.0,0.004248771109235115,0.22880107258020377,0.0019782708895425853,0.1389117755769947
1,0.5826,0.0,0.55,0.0,0.0046935905897170435,0.22218051000474065,0.004552033303485375,0.0920802906377202
2,0.33840000000000003,0.0,0.36,0.0,0.003756202914401949,0.2744470629283903,0.0035576889104846593,0.2388329310328257
3,0.3084,0.0,0.31,0.0,0.0037517141673043546,0.2459521673276141,0.006869892495187002,0.4535028146631646
4,0.548,0.0,0.56,0.0,0.0046120661266096956,0.21842147500973816,0.0018509282842590195,0.4006819825121038
5,0.4096,0.0,0.45,0.0,0.0038357073344927194,0.19188459499440447,0.0018002070827405118,0.23092495966706
6,0.5266000000000001,0.0,0.54,0.0,0.003496822267883579,0.19643384948162107,0.012555706399095621,0.2934985717792833
7,0.4742,0.0,0.5,0.0,0.004084147252672164,0.29477329794731566,0.0063443190165732456,0.2335819292364742
8,0.4732,0.0,0.5,0.0,0.003741161563957168,0.21027412916088825,0.005294011835219735,0.1309269414490015
9,0.45039999999999997,0.0,0.42,0.0,0.003480850387461656,0.19794934120672994,0.0016276674843387646,0.1611683301931634
