environment,reference_arm,comparison_arm,window,reference_window,comparison_window,design,metric,field,contrast,n_seed,seed_median,ci95_low,ci95_high
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_nearbalance,difference,5,1.8380779114047818,1.2459081973387442,2.2515025717612787
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_nearbalance,ratio,5,-0.06562385389485519,-0.5326804493205927,0.2766907378755563
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_activity,difference,5,0.05160138720744291,0.0320299180774579,0.08314189632025729
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_activity,ratio,5,2.099546380288098,1.5509417074737994,2.572642378103127
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_loglog_slope,difference,5,-0.06622161551289141,-0.4555077819950466,0.03799091633446883
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_loglog_slope,ratio,5,0.8753961061204232,0.22777853489193567,1.0727066189793717
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_halves_ratio,difference,5,-0.009125441840915904,-0.050504492743684626,0.003803852932814822
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_halves_ratio,ratio,5,0.9914778757941718,0.9527223454673567,1.003586468272449
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_mean_sqrtQ,difference,5,0.0065851863261894295,-0.01793048856195223,0.024365199131198778
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_mean_sqrtQ,ratio,5,1.0168333007494894,0.9502614071496345,1.0703241774313679
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_mean_sigma,difference,5,3.275305101406783,2.3169395346207473,3.5829063995944477
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_mean_sigma,ratio,5,1.4069962148317428,1.3431720766014152,1.505159747191323
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_A_balance,difference,5,1.8380779114047818,1.2459081973387442,2.2515025717612787
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_A_balance,ratio,5,-0.06562385389485519,-0.5326804493205927,0.2766907378755563
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_A_activity,difference,5,0.05160138720744291,0.0320299180774579,0.08314189632025729
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_A_activity,ratio,5,2.099546380288098,1.5509417074737994,2.572642378103127
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_update_only_balance,difference,5,1.8380779114047818,1.2459081973387442,2.2515025717612787
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_update_only_balance,ratio,5,-0.06562385389485519,-0.5326804493205927,0.2766907378755563
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_G_pre_over_Q,difference,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_G_pre_over_Q,ratio,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_abs_G_pre_over_Q,difference,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_abs_G_pre_over_Q,ratio,0,,,
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_sum_A_energy,difference,5,59.85182621281648,50.00921729554737,111.32570451479397
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_sum_A_energy,ratio,5,4.073705926086307,3.281546891039109,4.871996394176825
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_sum_E_energy,difference,5,0.0,0.0,0.0
conda,LR_k1_X0Y0,LR_k1_X0Y0,primary400_vs_secondary100,secondary100,primary400,400_minus_100_same_arm,actual,late_sum_E_energy,ratio,0,,,
