id,statistic,point,ci_lo,ci_hi,threshold,result,note
P0_H1,"dead_frac_final (H_T=1, seed 中央値)",0.54,,,>= 0.5,PASS,平均 0.554; 基準以上の seed 5/10; FAIL なら P1 から除外 (void)
P0_H2,"dead_frac_final (H_T=2, seed 中央値)",0.5800000000000001,,,>= 0.5,PASS,平均 0.635; 基準以上の seed 7/10; FAIL なら P1 から除外 (void)
P0_H4,"dead_frac_final (H_T=4, seed 中央値)",0.96,,,>= 0.5,PASS,平均 0.945; 基準以上の seed 10/10; FAIL なら P1 から除外 (void)
P0_H8,"dead_frac_final (H_T=8, seed 中央値)",0.96,,,>= 0.5,PASS,平均 0.961; 基準以上の seed 10/10; FAIL なら P1 から除外 (void)
P0_H32,"dead_frac_final (H_T=32, seed 中央値)",0.975,,,>= 0.5,PASS,平均 0.964; 基準以上の seed 10/10; FAIL なら P1 から除外 (void)
P0_H100,"dead_frac_final (H_T=100, seed 中央値)",0.95,,,>= 0.5,PASS,平均 0.947; 基準以上の seed 10/10; FAIL なら P1 から除外 (void)
P0,有効レベル数,6.0,,,>= 4,PASS,"有効レベル [1, 2, 4, 8, 32, 100] / 全レベル [1, 2, 4, 8, 32, 100]"
P1_i,alive_final ~ log2(H_T) の seed 内傾き (平均),-5.755192328846503,-7.615248189321629,-3.930411069379068,傾き > 0 かつ CI ゼロ非含有,FAIL,"有効レベル [1, 2, 4, 8, 32, 100] (n=6), seed 10 本, B=10000; seed 無視のプール OLS 傾き -5.7552"
P1_ii,per-seed Spearman ρ の中央値,-0.6285714285714286,-0.6857142857142858,-0.5464026901522906,>= 0.6,FAIL,"seed 別 ρ: [-0.493, -0.667, 0.058, -0.58, -0.759, -0.657, -0.6, -0.714, -0.6, -0.657]"
P1,主判定 (i) かつ (ii),,,,(i) 傾き>0 かつ CI ゼロ非含有 / (ii) ρ 中央値 >= 0.6,FAIL,(i)=FAIL / (ii)=FAIL
P1_post_matched,[事後追加] flip 平均 Var 比が ±25% 以内のレベルに限定した傾き,-0.018097016006930235,-0.37883612883756485,0.30927037293914555,事前登録外 (交絡の切り分け用、判定に使わない),事後,"レベル [4, 8, 32, 100]; ρ 中央値 0.200; alive 中央値 H4:4.0, H8:4.0, H32:2.5, H100:5.0"
P1_post_inband,[事後追加] flip 平均 Var 比が事前登録の帯内のレベルに限定した傾き,-3.8776540788695355,-6.0156940731139255,-1.8023965291224042,事前登録外 (交絡の切り分け用、判定に使わない),事後,"レベル [2, 4, 8, 32, 100]; ρ 中央値 -0.400; alive 中央値 H2:42.0, H4:4.0, H8:4.0, H32:2.5, H100:5.0"
P1_all,[参考] 全レベルでの傾き (void 混在),-5.755192328846503,-7.617716935765771,-4.001420464778835,判定に使わない,参考,"ρ 中央値 -0.629; レベル [1, 2, 4, 8, 32, 100]"
P2,alive(H=100) − alive(H=1) の paired 差,-39.3,-53.5,-24.9,判定なし (報告のみ),報告,"seed 別差 [-57, -17, -16, -35, -11, -65, -61, -50, -10, -71]; H=1 は有効"
S2,flip_state 軌跡 hash の全アーム一致 (seed 別),10.0,,,seed ごとに異なりハッシュ数 = 1,PASS,seed 10 本 × アーム 6 本; 異なり数 [1]
S3,H_T=100 の dead_frac_final が ratchet_log_0819 と一致,10.0,,,seed 別に厳密一致,PASS,dead ユニット数 (整数) で比較: 不一致 0 / 10 seed; 参考の float 最大差 1.11e-16 (演算経路差による丸め)
S4,Var[y_scaled] (t=0) の H_T=100 比 (字義: 中央値),,,,"中央値比が [0.5, 2.0] 内",FAIL,中央値比 H1:0.000; H2:0.000; H4:0.233; H8:0.883; H32:0.777; H100:1.000
S4_intent,同上 (意図: 本走が通った 100 flip 状態上の E_flip[Var[y_scaled]]),,,,"flip 平均比が [0.5, 2.0] 内",FAIL,"flip 平均比 H1:0.327; H2:0.509; H4:1.150; H8:1.062; H32:0.913; H100:1.000; 参考: t=0 平均比の判定は FAIL。字義の t=0 中央値は Var[y_raw] ∝ Binom(H_T, ≈0.151) のゼロ過剰を拾うので乗法スケーリングでは直らない (phase0_summary.md 0-2)"
S1,OMP_NUM_THREADS,,,,"= ""1""",PASS,アーム横断で ['1']
