act,arm,seed,task,tensor,norm
R,l2wt,9,0,W3,40
R,l2wt,9,0,b1,2
R,l2wt,9,1,W3,40
R,l2wt,9,1,b1,2
R,l2wt,9,2,W3,40
R,l2wt,9,2,b1,2
R,l2wt,9,3,W3,40
R,l2wt,9,3,b1,2
R,l2wt,9,4,W3,40
R,l2wt,9,4,b1,2
R,l2wt,9,5,W3,40
R,l2wt,9,5,b1,2
R,l2wt,9,6,W3,40
R,l2wt,9,6,b1,2
R,l2wt,9,7,W3,40
R,l2wt,9,7,b1,2
R,l2wt,9,8,W3,40
R,l2wt,9,8,b1,2
R,l2wt,9,9,W3,40
R,l2wt,9,9,b1,2
R,l2wt,9,10,W3,40
R,l2wt,9,10,b1,2
R,l2wt,9,11,W3,40
R,l2wt,9,11,b1,2
R,l2wt,9,12,W3,40
R,l2wt,9,12,b1,2
R,l2wt,9,13,W3,40
R,l2wt,9,13,b1,2
R,l2wt,9,14,W3,40
R,l2wt,9,14,b1,2
R,l2wt,9,15,W3,40
R,l2wt,9,15,b1,2
R,l2wt,9,16,W3,40
R,l2wt,9,16,b1,2
R,l2wt,9,17,W3,40
R,l2wt,9,17,b1,2
R,l2wt,9,18,W3,40
R,l2wt,9,18,b1,2
R,l2wt,9,19,W3,40
R,l2wt,9,19,b1,2
R,l2wt,9,20,W3,40
R,l2wt,9,20,b1,2
R,l2wt,9,21,W3,40
R,l2wt,9,21,b1,2
R,l2wt,9,22,W3,40
R,l2wt,9,22,b1,2
R,l2wt,9,23,W3,40
R,l2wt,9,23,b1,2
R,l2wt,9,24,W3,40
R,l2wt,9,24,b1,2
R,l2wt,9,25,W3,40
R,l2wt,9,25,b1,2
R,l2wt,9,26,W3,40
R,l2wt,9,26,b1,2
R,l2wt,9,27,W3,40
R,l2wt,9,27,b1,2
R,l2wt,9,28,W3,40
R,l2wt,9,28,b1,2
R,l2wt,9,29,W3,40
R,l2wt,9,29,b1,2
R,l2wt,9,30,W3,40
R,l2wt,9,30,b1,2
R,l2wt,9,31,W3,40
R,l2wt,9,31,b1,2
R,l2wt,9,32,W3,40
R,l2wt,9,32,b1,2
R,l2wt,9,33,W3,40
R,l2wt,9,33,b1,2
R,l2wt,9,34,W3,40
R,l2wt,9,34,b1,2
R,l2wt,9,35,W3,40
R,l2wt,9,35,b1,2
R,l2wt,9,36,W3,40
R,l2wt,9,36,b1,2
R,l2wt,9,37,W3,40
R,l2wt,9,37,b1,2
R,l2wt,9,38,W3,40
R,l2wt,9,38,b1,2
R,l2wt,9,39,W3,40
R,l2wt,9,39,b1,2
R,l2wt,9,40,W3,40
R,l2wt,9,40,b1,2
R,l2wt,9,41,W3,40
R,l2wt,9,41,b1,2
R,l2wt,9,42,W3,40
R,l2wt,9,42,b1,2
R,l2wt,9,43,W3,40
R,l2wt,9,43,b1,2
R,l2wt,9,44,W3,40
R,l2wt,9,44,b1,2
R,l2wt,9,45,W3,40
R,l2wt,9,45,b1,2
R,l2wt,9,46,W3,40
R,l2wt,9,46,b1,2
R,l2wt,9,47,W3,40
R,l2wt,9,47,b1,2
R,l2wt,9,48,W3,40
R,l2wt,9,48,b1,2
R,l2wt,9,49,W3,40
R,l2wt,9,49,b1,2
R,l2wt,9,50,W3,40
R,l2wt,9,50,b1,2
