act,arm,seed,task,online_acc,memo_acc,dead_frac_l1,wt_med_l1,mob_l1,mob_l2,zbar_l1,zbar_l2,rowmean_abs_med_l1
LR,l2wt,3,1,0.97,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,2,0.9691111111,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,3,0.9682222222,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,4,0.9673333333,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,5,0.9664444444,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,6,0.9655555556,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,7,0.9646666667,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,8,0.9637777778,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,9,0.9628888889,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,10,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,11,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,12,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,13,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,14,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,15,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,16,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,17,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,18,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,19,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,20,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,21,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,22,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,23,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,24,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,25,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,26,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,27,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,28,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,29,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,30,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,31,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,32,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,33,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,34,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,35,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,36,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,37,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,38,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,39,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,40,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,41,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,42,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,43,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,44,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,45,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,46,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,47,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,48,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,49,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
LR,l2wt,3,50,0.962,1,0.2,1.2,0.3,0.8,-0.2,0.2,0.001
