act,arm,seed,task,tensor,norm
R,l2wt,1,0,W3,40
R,l2wt,1,0,b1,2
R,l2wt,1,1,W3,40
R,l2wt,1,1,b1,2
R,l2wt,1,2,W3,40
R,l2wt,1,2,b1,2
R,l2wt,1,3,W3,40
R,l2wt,1,3,b1,2
R,l2wt,1,4,W3,40
R,l2wt,1,4,b1,2
R,l2wt,1,5,W3,40
R,l2wt,1,5,b1,2
R,l2wt,1,6,W3,40
R,l2wt,1,6,b1,2
R,l2wt,1,7,W3,40
R,l2wt,1,7,b1,2
R,l2wt,1,8,W3,40
R,l2wt,1,8,b1,2
R,l2wt,1,9,W3,40
R,l2wt,1,9,b1,2
R,l2wt,1,10,W3,40
R,l2wt,1,10,b1,2
R,l2wt,1,11,W3,40
R,l2wt,1,11,b1,2
R,l2wt,1,12,W3,40
R,l2wt,1,12,b1,2
R,l2wt,1,13,W3,40
R,l2wt,1,13,b1,2
R,l2wt,1,14,W3,40
R,l2wt,1,14,b1,2
R,l2wt,1,15,W3,40
R,l2wt,1,15,b1,2
R,l2wt,1,16,W3,40
R,l2wt,1,16,b1,2
R,l2wt,1,17,W3,40
R,l2wt,1,17,b1,2
R,l2wt,1,18,W3,40
R,l2wt,1,18,b1,2
R,l2wt,1,19,W3,40
R,l2wt,1,19,b1,2
R,l2wt,1,20,W3,40
R,l2wt,1,20,b1,2
R,l2wt,1,21,W3,40
R,l2wt,1,21,b1,2
R,l2wt,1,22,W3,40
R,l2wt,1,22,b1,2
R,l2wt,1,23,W3,40
R,l2wt,1,23,b1,2
R,l2wt,1,24,W3,40
R,l2wt,1,24,b1,2
R,l2wt,1,25,W3,40
R,l2wt,1,25,b1,2
R,l2wt,1,26,W3,40
R,l2wt,1,26,b1,2
R,l2wt,1,27,W3,40
R,l2wt,1,27,b1,2
R,l2wt,1,28,W3,40
R,l2wt,1,28,b1,2
R,l2wt,1,29,W3,40
R,l2wt,1,29,b1,2
R,l2wt,1,30,W3,40
R,l2wt,1,30,b1,2
R,l2wt,1,31,W3,40
R,l2wt,1,31,b1,2
R,l2wt,1,32,W3,40
R,l2wt,1,32,b1,2
R,l2wt,1,33,W3,40
R,l2wt,1,33,b1,2
R,l2wt,1,34,W3,40
R,l2wt,1,34,b1,2
R,l2wt,1,35,W3,40
R,l2wt,1,35,b1,2
R,l2wt,1,36,W3,40
R,l2wt,1,36,b1,2
R,l2wt,1,37,W3,40
R,l2wt,1,37,b1,2
R,l2wt,1,38,W3,40
R,l2wt,1,38,b1,2
R,l2wt,1,39,W3,40
R,l2wt,1,39,b1,2
R,l2wt,1,40,W3,40
R,l2wt,1,40,b1,2
R,l2wt,1,41,W3,40
R,l2wt,1,41,b1,2
R,l2wt,1,42,W3,40
R,l2wt,1,42,b1,2
R,l2wt,1,43,W3,40
R,l2wt,1,43,b1,2
R,l2wt,1,44,W3,40
R,l2wt,1,44,b1,2
R,l2wt,1,45,W3,40
R,l2wt,1,45,b1,2
R,l2wt,1,46,W3,40
R,l2wt,1,46,b1,2
R,l2wt,1,47,W3,40
R,l2wt,1,47,b1,2
R,l2wt,1,48,W3,40
R,l2wt,1,48,b1,2
R,l2wt,1,49,W3,40
R,l2wt,1,49,b1,2
R,l2wt,1,50,W3,40
R,l2wt,1,50,b1,2
