id,statistic,point,ci_lo,ci_hi,threshold,result,note
P1,A_within (seed 中央値),0.5031210986267166,0.48639200998751553,0.5067415730337079,seed 中央値 >= 0.90,FAIL,"平均 0.4970, CI は平均のもの"
P2,A_boundary,0.49595959595959593,0.4595959595959596,0.5323232323232323,"CI が [0.35,0.65] と交差 かつ (A_within − A_boundary) CI 下端 > 0.2",FAIL,"[0.35,0.65] と交差=True; A_within−A_boundary=+0.0010 CI[-0.0310,+0.0366] (下端>0.2 = False)"
P2-diff,A_within − A_boundary,0.001044149358756119,-0.03103024628305527,0.03656821019180572,(P2 の構成要素),—,
P1-1step,A_1step (境界窓内・1 step 隣接),0.7973402365362163,0.7833811735444902,0.8079946449418811,(事後追加の診断),—,0.5 付近なら s(t) は 1 step スケールで既に白色 = A_within の低さは 粒度ではなく駆動符号そのものの高速ゆらぎ。1 に近いなら 1000 step 粒度の エイリアスが A_within を潰していたことになる
P3,median PE (死亡ユニット),0.39592990555641694,,,帰無 95 パーセンタイル (0.2177) 超,PASS,"n_window=766, 符号置換 null 1000 回, null 中央値 0.2046"
P4,median BC (区間分割版),0.9240248490058613,0.916316316671924,0.9310292488410913,CI 下端 > 3 x 0.0201 = 0.0603,PASS,解像度差を除いた区間分割版。生グリッド版は BC_naive 行を参照
P4-naive,median BC (生グリッド),0.9556638041307861,0.946716503766874,0.9648392421439483,(参考・判定に使わない),—,境界窓は毎 step 記録なので Σ|Δcos| が構造的に大きく出る。上振れバイアス
P4-mech,median BC (‖w‖ 基準),0.31528563147853517,0.300109048432705,0.33096503889920065,(事後追加) 参考閾値 3 x 0.0201 = 0.0603,—,p̂=0 のユニットは勾配が恒等的に 0 で w が動かないため BC(cos)=1 は恒真。匍匐仮説が要求する「一押し」は w が動くことなので、機構判断はこの行を見る
P4-move,凍結区間のうち ‖w‖ が動いた割合 (再露出率),0.765074108881864,0.7468625981516813,0.7829765472276596,(事後追加),—,0 に近いなら凍結ユニットは境界でも一切押されていない = 匍匐は起きていない
P5,階段回帰 切替回数係数,-0.001911350629167901,-0.0021370179755815406,-0.001639300566503161,CI がゼロ非含有 かつ step 追加後も符号維持,PASS,"step 追加後の係数 -3.152e-02 CI[-3.451e-02,-2.864e-02]、符号維持=True; 切替回数と経過 step の相関 0.9999 (共線でほぼ識別不能 -> §9 の判定保留)"
P5-intent,階段回帰の識別可能性 (意図判定),0.9998731233298965,,,"|corr(切替回数, 経過step)| < 0.99 なら識別可",判定保留,"切替は period ごとに決定的に起きるので、切替回数と経過 step は 同じ量の 1/period 倍。相関 0.9999 では両者を分離できず、「step 係数を追加しても符号維持」は共線下で自動的に満たされる。**字義では PASS でも「切替回数が効いている」証拠にはならない**。§9 の規定どおり T スイープ (T ∈ {1e4, 3e4}) を Phase 2 に起案する。"
E1,self/rest の |µ̂ 射影| 時間平均比,0.6176014192580223,0.577281079754767,0.6571164888485619,(探索的・判定なし),—,
E1,self 成分の符号安定率,1.0,1.0,1.0,(探索的・判定なし),—,
E1,rest 成分の符号安定率,0.8059758263149069,0.7957789376378956,0.8170169058353351,(探索的・判定なし),—,
E1,符号安定率の差 (self − rest),0.19402417368509312,0.1828902542142323,0.20426993304092775,(探索的・判定なし),—,
